,talk_id,title,abstract,type,session
38,38,Livestock Grazing Effects on Pronghorn Preferred Forbs During the Winter in the,"Pronghorn (Antilocapra americana) is a native North American ungulate found in semi-arid landscapes. In the Trans-Pecos region of Texas, populations declined to less than 3,000 individuals in 2012 due to drought, disease, habitat degradation, and fragmentation. Since 2011, translocations and habitat improvements are implemented to mitigate pronghorn loss. As part of these efforts, cattle grazing may be manipulated to improve pronghorn habitat. However, the effects of grazing on winter forage conditions are not well understood. As forage nutrition, abundance, and diversity declines in the dry, cool season, investigating these changes in more detail can reveal limitations and deficiencies of forage available for pronghorn consumption. This study aims to compare vegetation production, species diversity, and nutritional quality in 3 cattle grazing systems during the cool season. This project was conducted on the Mimms Ranch in Presidio County, Texas. We sampled 100 plots in a continuously grazed system, 150 plots in a rotationally grazed system, and 5 plots within each of 10 non-grazed pastures under otherwise similar conditions. We identified and collected all above ground biomass of all non-woody forbs within a 1 m2 at each sampling point. We measured the acid detergent fiber (ADF) and total digestible nutrients (TDN) of winter 2021 vegetation samples. We ran a Redundancy Analysis to investigate the relationships between grazing systems and forb biomass, diversity, and energy contents. Understanding vegetation community response to livestock grazing systems may allow managers to adapt grazing practices to maximize the abundance and quality of winter forage for pronghorn.",oral,NA
39,39,Modeling Pronghorn Behavior and Space Use: Fence Behavior of Translocated and,"Pronghorn (Antilocapra americana) are endemic North American ungulates that are thought to have cognitive maps of the landscape, and these memories could drive space use posttranslocation. Therefore, understanding challenges specific to pronghorn space use is critical for monitoring translocation success. Barriers like fences are responsible for the inhibition of movement, increased energy demands, reduced access to quality forage, impact injuries, mortalities, and separation from metapopulations. To address this, we examined the posttranslocation fence crossing behavior for translocated and resident pronghorn based on patterns of animal space use. We postulated that residents and translocated pronghorn would avoid fences, because patterns of human landscape modification are a pervasive form of disturbance for ungulates across a range spatial scales. In February 2019, Texas Parks and Wildlife Department (TPWD) collared 20 resident pronghorn on Rocker b Ranch, near Big Lake, Texas. In January 2020, TPWD translocated 115 pronghorn from Pampa, Texas, to the Rocker b Ranch, 45 of which were fitted with Global Positioning Systems collars. The ranch made 200 fence modifications prior to the arrival of translocated pronghorn. To investigate fence crossing behavior, we calculated the frequency and location of fence crossings among translocated and resident individuals. We found that translocated pronghorn cross multiple fences more frequently while residents tend to maintain pasture boundaries. Our results suggest that the naivety of the translocated pronghorn towards fences allows them to be more selective. Further, translocation may expedite the colonization of reconnected habitat following fence modification, conferring a previously unrecognized advantage of this practice. Conservation & Ecology of Natural Resources and Habitats",oral,NA
40,40,Effects of Grazing by Bison on Arthropod and Vegetation Communities,"With enclosed populations, it is important to understand when the population reaches or exceeds carrying capacity. In 1997, Texas Parks and Wildlife Department (TPWD) relocated 36 southern plains bison (Bison bison bison) to Caprock Canyons State Park (CCSP), a 6,070- ha state park in Briscoe County, Texas. In 2015, park biologists, using the USDA Web Soil Survey, estimated that carrying capacity was approximately 250 individuals. Currently, there are roughly 350 head of bison in the park. The objective of this study is to examine the effects of bison grazing on vegetation and arthropods in the park. In 2018, TPWD established fenced areas to create grazing-exclusion plots. From 2020-2022, we conducted monthly surveys on the plant and arthropod communities in the grazed areas and grazing exclosures. We randomly sampled using 2 Daubenmire frames within the exclosure and 2 frames 30-m away in a random direction, which is accessible for grazing. Within each Daubenmire frame we estimated bare ground, litter, plant diversity, and plant height per species. We also surveyed for arthropods in the exclosure and grazed areas. Our results, indicate a trend towards higher relative cover of hairy grama (Bouteloua hirsuta), in the exclosure than in grazed areas but no trend for little bluestem (Schizachyrium scoparium) or western ragweed (Ambrosia psilostachya). Currently, we are analyzing other plant species and arthropods. CCSP can use this information to create a plan for managing the bison herd and the vegetation and arthropod communities in park.",oral,NA
41,41,Comparing terrestrial wildlife diversity between native and non-native grassland,"Wildlife diversity is essential and valuable for the environment, society, and the economy. Grasslands have long been a biodiversity hotspot before human activity. Historically, grasslands comprised a large portion of the landscape in Texas. However, 99% of the native grasslands have been lost. Anthropogenic activity has significantly altered these grasslands through conversion to monoculture pastures, agriculture, invasive species introduction, and development. Conversion and degradation of native grasslands decrease biodiversity and decrease ecosystem functioning. Ecosystems services provided by diverse native grassland communities, including carbon sequestration, water quality and quantity, erosion control, and flood prevention, are monetarily valuable. Wildlife diversity benefits include an array of birds, insects, and bats that disperse seeds and provide pollination services, as well as game species such as quail, deer, and more. In this pilot study, we sought to determine a significant difference in the diversity of terrestrial wildlife taxa, including herpetofauna, birds, small mammals, bats, mesomammals, and invertebrates (insects, arachnids, and mollusks). We used a collection of sampling methods designed to evaluate species richness in a time and area constraint on nonnative grass-dominant and native grass-dominant study sites. We surveyed sites in May, July, and September of 2022. Evidence suggests an association between wildlife species diversity and dominant vegetation systems (P<0.0001). This research may be used to demonstrate the quantifiable advantages of restoring and preserving native grasslands.",oral,NA
42,42,Mapping Prairie Quality at a Landscape Scale,"Prairies make up large parts of Texas’s ecoregions and are one of the most endangered ecosystems in North America. Prairies provide habitat for a diverse array of plant and animal species and are important for nutrient cycling, carbon storage, water quality, livestock, hunting, and other forms of outdoor recreation. The persistence of these ecosystems is threatened by urbanization, conversion to agriculture, fire suppression, exotic plant species, and loss of landscape-level processes. Further, the current condition of these landscapes remains widely unknown. The goal of this project was to systematically sample portions of the Blackland Prairies, Grand Prairie, Crosstimbers, and Coastal Prairies to determine, through field sampling, remote-sensing, and modeling, the distribution and quality of grasslands within these areas. Field data and photo interpretation points were used to remotely sense grassland quality in a pilot study area roughly 2 million acres in size. We targeted six different grassland classes for mapping: Grass Farm, Monoculture Hayfield, High Quality Prairie, Mostly Exotic Pasture, Mostly Native Pasture, and Old Field/Fallow Field. Overall map accuracy was 80% and three grassland classes were mapped with over 81% accuracy: High Quality Prairie, Monoculture Hayfield, and Mostly Exotic Pasture. High accuracy in our grassland quality mapping targets was achieved by increasing the amount of field data collected, using lidar-derived data, and increasing the resolution of satellite imagery. These results will assist with on-the-ground conservation and restoration of grasslands and grassland-dependent species.",oral,NA
43,43,Grassland Effectiveness Monitoring: Results from Pilot Tests of a Tiered and,"Grasslands are an imperiled ecosystem in North America, with 2/3 of the historical distribution of this critical habitat lost. To counteract these declines, habitat restoration programs implement practices like brush management, prescribed fire, herbicide treatment, and prescribed grazing. About $2.8 million/year is spent implementing practices like these on private lands by U.S. Fish and Wildlife-Southwest Region’s Partners for Fish and Wildlife program, and millions more is spent by similar programs. However, little monitoring data is available to assess treatment success. The Grassland Effectiveness Monitoring (GEM) protocol was developed to fulfill this need and is designed to integrate with Bureau of Land Management and Natural Resources Conservation Service monitoring programs. It offers a simplified, tiered design that allows for differing plant identification skill levels while producing useful habitat assessment metrics. This protocol was tested on Grassland Restoration Incentive Program prescribed fire and brush management projects in the Blackland Prairie and Cross Timbers regions of Texas in 2021 and 2022. Both treatments typically produce early successional habitat. We tested the assumption that prescribed fire yields better quality grassland habitat. Preliminary results indicate that prescribed fire sites had more native herbaceous cover, which comprised ~35.5% of the site area as compared to ~19% of brush management sites. Additionally, mean woody height on brush management sites was 4.6 meters and 1.8 meters on fire sites. Pilot study results show that GEM can produce data to evaluate habitat treatment success, and its flexibility makes GEM a useful tool to apply across programs, facilitating pooled analyses.",oral,NA
44,44,Asessing Ground-Dwelling Arthropod Biodiversity in Rangelands Under Differing,"Arthropods make up 84% of all described species and contribute significant ecosystem services such as pollination, nutrient cycling, pest control, and as a major food resource for other species of wildlife. Recent studies suggest long-term declines in arthropod population densities and biomass. However, the magnitude and extent of arthropod decline in North America is not well understood, prompting a need to facilitate biomonitoring at local scales to determine long-term changes in arthropod communities and identify mechanisms for declines. The purpose of this study is to establish long-term monitoring in rangelands in Erath County and report changes in the diversity and composition of arthropod communities associated with cattle grazing. We established 8, 30-m transects during Summer 2019 and 2022 at Tarleton State University Agricultural Center where collections occurred before and after grazing events. Within each transect we measured vegetation characteristics (species richness, horizontal cover, and plant height) using three Daubenmire frames and sampled ground-dwelling arthropods using 6 pitfall traps on a monthly basis. We identified arthropods to the family level and quantified family richness, abundance, diversity, and evenness within each transect. In areas associated with non-native vegetation we found high densities of non-native arthropods, notably pillbugs (Isopoda: Armadillidiidae) and ants (Hymenoptera: Formicidae). In 2019 diversity was similar, but abundance similarity was inconclusive. Our findings will enhance natural history records and contribute to management decisions on maintaining arthropod diversity in rangelands in NorthCentral Texas.",oral,NA
45,45,Effect of juniper removal on ground-dwelling arthropod biodiversity,"Ashe juniper (Juniperus ashei) has increased exponentially across Texas. Encroachment of this dense evergreen influences community dynamics by suppressing understory growth and outcompeting other native vegetation, thus affecting arthropod assemblages. Arthropods play a critical role in the environment for their ecological processes. Our objectives are to evaluate ground-dwelling arthropod community richness, abundance, and composition in response to Ashe juniper removal in riparian areas. In October 2020, juniper removal occurred on a 182-ha property adjacent to Palo Pinto Mountains State Park in Stephens County, TX, to remove Ashe juniper as part of a habitat remediation project. Results of brush management efforts indicated a 43% reduction in total canopy cover. We surveyed from April to July 2021 and 2022 during peak arthropod production at non-juniper, juniper removed (and reseeding of herbaceous cover), and juniper present sites. We sampled a total of 54 sites 4 times during the season using pitfall traps and vacuum sampling. Additionally, we measured ground cover using Daubenmire frames since herbaceous, litter, and bare ground cover can influence the presence of certain arthropod taxa. One-year post-removal, we did not detect a difference in arthropods among the three site treatments. Two-years post-removal, we detect differences in ground cover among the treatments, such as juniper areas having lower heterogeneity in ground cover. We are currently finalizing arthropod data and additional analyses. By evaluating the impact of juniper removal on arthropod productivity, adaptive management strategies can be applied to better understand how other faunal communities may respond to juniper removal. Conservation & Ecology of Reptiles and Amphibians 1",oral,NA
46,46,"Movement, home range size, and habitat use of Eastern Black-tailed Rattlesnakes","Despite its wide distribution throughout the northern Chihuahuan Desert, extraordinarily little is known about the ecology or behavior of Eastern Black-tailed Rattlesnakes (Crotalus ornatus). The primary literature for black-tailed rattlesnakes was largely based on research conducted on the former conspecific (C. molossus), thus the re-validation of C. ornatus widened the void in our understanding of the species. The aim of this study was to elucidate movement patterns, home range size, and habitat use by C. ornatus in the northern Chihuahuan Desert of far west Texas. Radiotelemetry was used to monitor individual snakes from May 2015 through August 2018. Mean home range size for all individuals was 22.84 ha and mean daily distance moved was 9.28 m/day. Male snakes had larger home range sizes (P=0.009), larger core use areas (P=0.02), and higher daily distance moved (P=0.001) than female snakes. Male movement peaked in August (P=0.004) and female movement was statistically similar throughout the active season. Multinomial logit models were used to analyze habitat use patterns of C. ornatus, while controlling for snake, habitat availability, and season. Despite low availability within snake home ranges, most observations of snakes occurred in arroyos or on rocky slopes (P<0.001). Microhabitat was also used non-randomly, with snakes seeking cover in rocky refugia or under dense vegetation (P<0.001), rather than areas containing high proportions of gravel or plant litter. This study presents the first detailed information about habitat and microhabitat use, along with patterns of movement and home range size for the recently revalidated C. ornatus.",oral,NA
47,47,Habitat Conservation Forecasting for the Western Massasauga,"An understanding of past climate-driven changes in Western Massasauga (Sistrurus tergeminus) distribution can offer a perspective on how resources might best be allocated to achieve the greatest future conservation benefits for the lowest cost and therefore maximize return-on-investments. Past projections or hindcasting of species distribution models (SDMs) across the range of S. tergeminus through the Last Glacial Maximum more than 20,000 years ago when ice sheets were at their maximum extent showed dramatically decreased areas of suitable habitat in most of the US, but increased areas of suitable habitat in Mexico. As climate changed through the mid-Holocene 7,000 to 5,000 years ago to present day conditions, the distribution of S. tergeminus suitable habitat and populations expanded. Future projections or forecasts of SDMs across the range of S. tergeminus show a continued expansion and northward shift of suitable habitat by 2050 and 2070. These model results suggest that S. tergeminus was fully capable of tracking changes in the distribution of their habitat in response to past climate change. By extension, these results also suggest that S. tergeminus should be able to track changes in the distribution of their habitat in response to future climate change, if anthropogenic barriers to dispersal do not dominate future landscapes. As such, investing resources in landscape conservation strategies that focus on corridors and habitat linkages, rather than fixed boundaryprotected areas, should help preserve the connectivity of S. tergeminus populations under future climate change and therefore provide a better return-on-investment.",oral,NA
48,48,Demography of reintroduced Louisiana Pinesnakes,"The Louisiana Pinesnake (Pituophis ruthveni) has exhibited drastic population declines resulting its listing as federally threatened under the Endangered Species Act. A captive population has been managed to produce head started individuals for release at a reintroduction site in the Kisatchie National Forest in Louisiana. Since 2010, releases of head started snakes have occurred annually where they have been monitored with a variety of passive techniques including box traps and automated PIT tag recorders. However, our current understanding of the demography of this reintroduced population is limited. The development of spatially explicit population models admits the spatial structure of the ecological processes that influence the encounter history data, as well as the spatial aspect of how the data was collected, and thus estimated density can be understood in the context of the sample area. The long-term monitoring of this reintroduced population enabled us to develop a spatially explicit population model to estimate density within the sample area. A total of 291 snakes have been released that has resulted in a total of 325 detections of 89 individuals. Of these, 55 were captured more than once, and the maximum number of detections of a single individual was 39. Natural recruitment (5 individuals) has also been detected. These results will be used inform the reintroductions at the current site, while also guiding monitoring of future reintroduced Louisiana Pinesnake populations.",oral,NA
49,49,Modeling breeding pond habitat for amphibians of conservation concern,"The crawfish frog, Lithobates areolatus areolatus, and the Houston toad, Bufo houstonensis, are two native amphibian species of conservation concern in Texas. The crawfish frog is generally associated with prairies or grassland habitats which are one of the most endangered ecosystems in North America, and the federally endangered Houston toad requires a specific breeding habitat of pine and oak woodlands and savannas, specific soil geology, and shallow or ephemeral ponds. The Landscape Ecology Program at Texas Parks and Wildlife Department aims to support the conservation and restoration of these species’ breeding habitat through the development of a high-resolution map of ephemeral and permanent wetlands. To map potential breeding habitat, available LiDAR within both species’ geographic ranges were acquired and processed using Quick Terrain Modeler to produce a Digital Elevation Model (DEM). The DEM was then standardized in ERDAS Imagine, and the landscape topographic sinks were identified using ArcGIS Hydrology Toolset. An object-based image analysis was performed in eCognition to extract bodies of water over 200 m2 from satellite imagery to determine which landscape sinks contained water during wet years. The LiDAR derived sink datasets were then modeled using randomForest in Rstudio using predictor variables to produce a final map of potential breeding habitat for each of these species.",oral,NA
50,50,Survival of Repatriated Alligator Snapping Turtles in Native Texas Waters,"The alligator snapping turtle (Macrochelys temminckii) is the largest freshwater turtle in North America. As such, M. temminckii are sought after for human consumption and are vulnerable to overharvest or bycatch. Despite having protection from harvest in Texas since the 1980s, M. temminckii are still harvested illegally for food and novelty products. Given their life history, such threats may exacerbate declines in local populations. Therefore, efforts that can bolster wild populations are of importance to M. temminckii conservation. In June 2021, 23 M. temminckii confiscated by federal agents were released at three predetermined sites in east Texas. To determine the feasibility of repatriation efforts, we attached VHF radios to these individuals and performed weekly telemetry checks until July 2022 to estimate survival. We estimated survival probabilities using Hidden Markov Models (HMM) to account for inconsistencies in radiotelemetry data, and to assess mortality in the context of site and seasonal effects. Overall, we found that survival of repatriated M. temminckii was high. However, survival probabilities were greatly influenced due to differences in demographics across sites. We found the best-fit HMM with an interactive effect of site and season to be the strongest predictor of M. temminckii survival. Variation in resource availability (e.g., microhabitat availability) and site characteristics (i.e., hydrological regime) across seasons may influence repatriated M. temminckii survival. Long-term studies estimating survival are difficult but invaluable to conserve long-lived species. High survival of repatriated individuals highlights suitability of habitat and could be a tool to restore or bolster wild populations.",oral,NA
51,51,Reestablishment and Increase of Spot-Tailed Earless Lizard Home Range Following,"Spot-tailed earless lizards (STEL) are rare species that were recently elevated from subspecies to full species status. Both populations have dramatically declined resulting in increases in conservation interests. Recent research found STEL home ranges to be 4X larger than similar species of the genus. In our observations of STEL, we noted that individuals fled from humans but did not return to their previous site of observation. Therefore, we outfitted 30 STEL with VHF transmitters to track their daily movements for 1 week, then in a cross-over design, we pursued half the STEL to locations approximately 100 m from their original observation site while maintaining a distance from the other half of STEL. We continued to monitor movements, and after another week, we pursued the second STEL group to a new location while maintaining a distance from the first STEL group. We found that non-harassed STEL maintain 0.09 ± 0.01 ha home ranges, but if harassed, they will escape to a new site and re-establish a previous-sized home range without returning to original home range sites. Only 1 STEL appeared to attempt to return to its original site, but was depredated as a result. Our results indicate that STEL home range size become 5.6X larger as a result of intensive tracking by researchers. Inflated or biased estimates of home range can result in misinterpretations that have potential to misguide conservation strategies and should be considered by future researchers when conducting home range studies of STEL. Conservation & Ecology of Birds 3",oral,NA
52,52,Range expansion of Crested Caracaras over a 55-year period in three distinct,"Crested Caracaras (Caracara cheriway) are non-migratory raptors that exist as three populations in the United States (US) in Texas, Arizona, and Florida. Here, they inhabit open areas where their broad diet includes e.g., carrion, invertebrates, and small mammals. Occurrence records suggest that caracaras are expanding their distribution. Yet, the extent and rate of expansion is unknown. At the same time, caracaras appear to be increasing in urban areas suggesting they may be expanding into previously unoccupied habitat. We test these ideas by (1) assessing range expansion of caracaras separately for the three US populations over a 55-year period, and (2) evaluating changes in habitat occupancy over the same timeframe. We used point occurrence data collected between 1967 and 2021 from the Global Biodiversity Information Facility (GBIF) and the Breeding Bird Survey (BBS). Data were separated into 5-year time periods and overlaid on a 2x2km grid. For each 5-year period, the mean easting and northing of occupied cells was calculated separately for each population to estimate range centroids. The distance between each centroid and the outermost occupied cells was also calculated. We compared estimates to assess range shifts and expansion across time. While range expansion occurred in all populations, the greatest occurred for the Texas population. Using the National Land Cover Dataset, we also demonstrated that observations of caracaras in urban areas have increased. Our results have important implications for the management of caracaras, especially where they contribute to human-wildlife conflict, or where they are considered imperiled (Florida).",oral,NA
53,53,The Impact of Microclimate on Nest Site Selection and Reproductive Success in the,"For cavity nesting birds, nest quality may depend on: 1) nest-hole orientation 2) solar radiation 3) amount of surrounding vegetation. We examined the impact of these factors on nest site occupancy and reproductive success in the Black-Crested Titmouse (Baeolophus atricristatus). Nest occupancy and measures of reproductive success (number of eggs laid, hatched, and fledged) were recorded among 99 nest boxes in central Texas in 2021. Orientation was measured with a compass. Solar radiation was estimated using semi-hemispherical photos taken via Google Street View. Vegetation was quantified with NDVI, and by the distance from each nest box to the nearest vegetation under 2 meters and over 2 meters. Occupied nests (n= 46) were significantly more likely to be oriented to the southwest; however, orientation of occupied nests varied widely. Occupancy was not related to vegetative measures. Clutch size and lay date (but not hatching success or fledging success) were significantly related to orientation: nests holding larger clutches were oriented north to northwest, and nests with earlier lay dates were oriented northeast. Lay date (but not clutch size or fledging success) was negatively correlated with distance to vegetation (over 2m), but not to other vegetation measures. Analyses of solar radiation are ongoing. These results are consistent with the hypothesis that nest site selection and reproductive success are influenced by microclimate. Our work will illuminate the factors that impact reproductive success in the Black-Crested Titmouse and has implications for artificial nest placement.",oral,NA
54,54,Vocal behavior and urban avoidance in golden-cheeked warblers inhabiting exurban,"The golden-cheeked warbler is a state and federally listed species that breeds exclusively in Central Texas. Its breeding range can be characterized by regions of high- and low-density human development. The 35,000-acre Balcones Canyonlands Preserve (BCP) was set aside as mitigation land for the golden-cheeked warbler in Travis County, a region which is experiencing unprecedented human growth. The BCP is comprised of multiple land tracts, which range greatly in size and configuration. The City of Austin and Travis County, who serve as the primary owners and land managers, have been conducting intensive surveys of warbler use on 100-acre plots since 2009. They have also conducted several collaborative studies, such as an intensive song recording effort led by Chris Warren in 2008-10. We integrated new and previously collected data to assess vocal behavior and urban avoidance in golden-cheeked warblers found on BCP plots. Specifically, we compared B song composition between 2008-10 and 2021-22. Further, we assessed the impact of increasing percentages of impervious surfaces on the likelihood of detecting a golden-cheeked warbler within any particular 100-meter cell within 100-acre survey plots. Our results indicate that golden-cheeked warbler B song composition has changed significantly over time and that the species is strongly averse to impervious surfaces. While the reasons and implications of changing songs require additional exploration, the impact of impervious surfaces clearly supports the continued need for the preservation of large tracts of wildlands to maintain golden-cheeked warbler populations in exurban landscapes.",oral,NA
55,55,Pugilistic Doves: Is Wing Morphology Associated with an Odd Form of Aggression,"Aggressive wing-slapping behavior is commonly observed in both White-winged Doves (Zenaida asiatica; WWDO) and Mourning Doves (Zenaida macroura; MODO). Many species with similar behaviors, including other Columbidae species, exhibit morphological weaponization of wings. These adaptations take the form of skeletal projections such as spurs or bony knobs and may also include increased bone thickness or density. Such weapons are typically found on the extensor process of the carpometacarpus. Bone modification is more pronounced in groups that participate more in competition and defense, and sexual dimorphism in these features is common. We have collected data on the size and shape of wing bones in adult WWDO and MODO to explore the hypothesis of bone weaponization in these birds. We predict that if weaponization does exist, we would observe sexual dimorphism in wing bones, particularly the carpometacarpus. We also predict skeletal differences between the colonially nesting WWDO and the less social MODO. After controlling for body size differences, we analyzed the linear measurements and shape of the carpometacarpus bone, as well as of the extensor process on this bone. There is a significant difference in the dorso-ventral thickness of the minor carpometacarpal digit between males of the two species, with thickness in MODO being approximately 10% greater, but no other significant differences have been identified. Although one of twelve measurements is consistent with one of our predictions, we do not consider this overwhelming support of our hypothesis. WWDO and MODO appear to possess no identifiable osteological weaponization, despite their wing-slapping behavior.",oral,NA
56,56,Parental Attentiveness of a Songbird across Varying Temperature Gradients,"Bergmann’s rule predicts body size differences across latitudes associated with temperatures. One possible mechanism is parental behavioral differences, such as time on or off a nest or food delivery rates, that could influence growth rates resulting in body mass differences. Our study compares behavioral measurements at house sparrow (Passer domesticus) nests in Texas, Kentucky, and North Dakota associated with location, temperature, and nestling body size. We monitored house sparrows in nest boxes at our study locations during the spring and summer of 2022. We video recorded parental behaviors on incubation day 5, 6 or 7 and posthatching on day 5, 6 or 7 from approximately 0630-1130 hrs. We collected morphological measurements of nestlings every two days post-hatch (day 2–10). Preliminary results show that female on-bouts were longer in North Dakota (n = 26, mean = 34.6 min/hr, 95% CI = 31.6–37.7) than in Texas (n = 27, mean = 26.2 min/hr, 95% CI = 20.2–32.3), and feeding rates are higher in North Dakota (n = 18, mean = 17.4/hr, 95% CI = 13.9-21.1/hr) than in Texas (n = 29, mean = 10.1, 95% CI = 8.2-11.9/hr). We are finalizing our remaining analyses on behavior, body size, and temperature. Using house sparrows as a model for songbirds, this study will increase our understanding of how parental feeding rates are associated with differences in nestling body size and temperature, with implications for how birds might respond to climate change. Conservation & Ecology of Mammals 3",oral,NA
57,57,Implementing novel trail camera-based techniques for estimating demographic,"Density and recruitment are hard to estimate, and quantifying them through physical capture can be invasive, expensive, and impractical. The use of camera traps as a tool for collecting demographic data has grown exponentially in recent years due to ease of use and benefits associated with collecting data noninvasively. Further, recent advances in unmarked abundance models and camera trap technology facilitate better estimates of demographic parameters of unmarked species. Our objective was to use the space-to-event unmarked abundance model (STE) to estimate density and recruitment of white-tailed deer (Odocoileus virginianus) in a densely forested area. Previous work with STE did not account for camera viewable area (viewshed), potentially leading to biased estimates associated with viewshed assumptions. Further, STE has not been used to quantify recruitment, so we will extend the usefulness of this unmarked model. In 2021 we randomly deployed 100 cameras across two wildlife management areas in southeast Oklahoma. At deployment, we measured the viewshed at each camera by taking six maximum distance measurements to account for variation in forest structure across the viewshed. We set camera traps to synchronously take time-lapse photographs every 10 minutes until they were retrieved, resulting in a sample of 3 million photos. Using STE, we successfully estimated late-summer white-tailed deer density at both sites which allowed us to derive fawn recruitment rates. When compared to estimates derived from an assumed viewshed, our results reported higher densities when viewshed is uniquely measured per camera, indicating that viewshed can have profound impacts on estimating density.",oral,NA
58,58,Temperature drives habitat selection and tolerance of predation risk in a climate,"Spatiotemporal partitioning of habitat use is a common behavior that species employ to avoid predation. Balancing demands of foraging and thermoregulation under predation risk introduces competing drivers of selection often underappreciated in studies of predator-prey dynamics. As temperatures rise due to climate change, thermoregulatory pressures will increasingly impact movement patterns by forcing prey to accept higher predation risk in exchange for thermal refuge. For instance, as Florida panthers (Puma concolor coryi) utilize vegetation to ambush prey, white-tailed deer (Odocoileus virginianus; hereafter: “deer”) may select safer areas at the cost of increased solar radiation exposure. We tested the hypothesis that thermoregulatory demands influence predation risk tolerance in prey and that the strength of the effect will vary between nocturnal and dial periods. We assessed step selection of 224 deer from June through September 2015 to 2018 in the Florida Panther National Wildlife Refuge and Big Cypress National Preserve in southern Florida, USA. Resource selection varied with temperature, suggesting the thermal landscape is an important factor of selection. As temperature increased, deer increased their use of high-risk areas, indicating deer were less predation risk averse when confronted with high thermoregulatory costs. However, this pattern was temporally dynamic. Temperature influenced predation risk tolerance during both nocturnal and dial periods but was strongest during nocturnal hours, when panthers are most active. These movements indicate that the need for thermal refugia influences predator avoidance and highlights the critical importance of landscape features which offer thermal shelter.",oral,NA
59,59,Early-life conditions: a roadmap to larger antlered white-tailed deer,"Early-life programming prepares an individual for the environment they are expected to exist in through life. This programming can be adaptive or mal-adaptive depending on the match or mismatch between the expected and the actual environment. In the event of an environmental mismatch, life history traits can be negatively influenced. We evaluated the effects of early-life conditions of white-tailed deer (Odocoileus virginianus) on the relationship between antler and body mass utilizing a 15-year dataset containing annual antler and body weight measurements for 471 known-age white-tailed deer. These individuals were born in one of two 445-hectare, high-fenced pastures or a 2.5-hectare pen. Within the pen, movement was limited, predators did not occur, and sires were selected for large antler sizes. All deer had access to ad libitum food and water. Deer born in pens were released to the larger pasture at ~4-months of age. The analysis utilized a linear mixed effects model with antler score and body weight as dependent variables. Independent variables were age and birth site. Capture year and animal ID were treated as random variables. Offspring born in pens were smaller bodied with larger antlers when compared to pasture-born deer. Our results suggest early-life conditions permanently influence the allocation of energetic resources towards either antlers or body mass in white-tailed deer. Whether these findings are adaptive or maladaptive depends on the expected environment these individuals will exist, as well as management goals and practices.",oral,NA
60,60,Temporal variation in resources influences offspring quality of white-tailed deer in a,"Timing of resource availability has important implications for population performance. Resource availability relative to consumer requirement influences the consumer’s ability to acquire nutrients as energetic demands fluctuate. Temporal variation matters for wildlife; however, the period when it matters most remains unknown. Therefore, we determined the biological period at which rainfall was most predictive of offspring quality. We used rainfall as our environmental variable because it varies greatly and directly affects plant growth. We used white-tailed deer (Odocoileus virginianus) as a model species and offspring body mass as a proxy for quality, as mass is correlated with survival and time to primiparity. We captured 480 fawns and 571 1.5-year-olds in the fall at four sites in South Texas from 2011 to 2021. We assigned precipitation data from seven biological seasons we hypothesized would affect mass to each deer record. We used linear mixed-effects models to identify the period when rainfall was most predictive of mass. Rainfall in the early growing season (April), approximately three months prior to birth of fawns, had the greatest effect on deer mass. For every ten cm increase in rainfall, fawn body mass increased by 2.17 kg (P=0.01) and yearling body mass increased by 2.88 kg (P = 0.04). Our results demonstrate that offspring quality is most affected by rainfall in seasons relevant to plant phenology rather than rainfall in seasons relevant to reproductive chronology. Therefore, when assessing how temporal variation in resources influences population performance, managers should consider multiple trophic levels to fully capture this process.",oral,NA
61,61,Estimating Breeding Values and the Heritability of Antler Traits in White-tailed,"Luxury phenotypic traits (horns and antlers) are both tools and targets for the management of ungulate populations. For instance, antler restrictions regulate males eligible for harvest by protecting younger age classes. Culling or selective harvest attempts to improve the horn or antler size of future generations by removing undesirable phenotypes from the breeding pool. However, the effects of these management strategies–intentional or unintentional–strongly depend on the heritability of the traits and the ability of offspring to develop and display them. Mature animals with access to high-quality nutrition typically develop larger antlers, but the genetic influence on antler development in wild populations of cervids is poorly understood. We analyzed an ongoing, long-term research project that has followed multiple half-sibling cohorts of wild white-tailed deer (Odocoileus virginianus) to maturity. We recorded 2,167 antler measurements from 505 unique individuals. We estimated the narrow-sense heritability(h2) for 5 common antler characteristics: gross Boone & Crockett score (0.35), inside spread (0.00), main beam length (0.17), antler mass (0.27), and tine length (0.59) by regressing the mean offspring antler measurements of each antler trait on their sire's maximum antler measurement for each trait. Antler restrictions implemented on traits with low heritability will have the least chance of unintentional effects of harvest, such as high-grading. Conversely, selecting for traits with higher heritabilities will produce the largest gains per generation. Our results can help wildlife managers and legislators make better-informed decisions and regulations when managing cervid populations to produce the highest quality luxury phenotypic traits. Conservation & Ecology of Reptiles and Amphibians 2",oral,NA
